"species_code","scientific_name","common_name","is_resident","breeding_quality","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end","has_trends","trends_season","trends_region","trends_start_year","trends_end_year","trends_start_date","trends_end_date","rsquared","beta0"
"asikoe3","Eudynamys orientalis","Pacific Koel",FALSE,"3",2022-12-27,2022-02-01,"3",2022-05-24,2022-08-23,"2",2022-02-08,2022-05-17,"2",2022-08-30,2022-12-20,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"aspfly1","Terpsiphone paradisi","Indian Paradise-Flycatcher",FALSE,"2",2022-05-31,2022-08-09,"3",2022-11-29,2022-03-01,"2",2022-08-16,2022-11-22,"2",2022-03-08,2022-05-24,NA,NA,NA,TRUE,"nonbreeding","india_se_asia",2014,2021,"11-29","03-01",0.862426979353228,-0.107595826480079
"astfly","Myiarchus cinerascens","Ash-throated Flycatcher",FALSE,"3",2022-05-31,2022-07-19,"3",2022-11-08,2022-02-15,"3",2022-07-26,2022-11-01,"3",2022-02-22,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-19",0.873839575925321,-0.173132332283176
"attwoo1","Picoides dorsalis","American Three-toed Woodpecker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"audgul1","Ichthyaetus audouinii","Audouin's Gull",FALSE,"3",2022-05-31,2022-08-09,"2",2022-11-29,2022-02-22,"2",2022-08-16,2022-11-22,"2",2022-03-01,2022-05-24,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"audori","Icterus graduacauda","Audubon's Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-12-20,2022-01-04,TRUE,"resident","north_america",2011,2021,"11-01","05-03",0.869687084960211,0.683895133771181
"aukpar1","Alisterus scapularis","Australian King-Parrot",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"07-19","10-18",0.735779003677691,0.209933504293174
"ausbla1","Curaeus curaeus","Austral Blackbird",FALSE,"2",2022-11-01,2022-04-12,"2",2022-05-03,2022-09-27,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"11-01","04-12",0.830914769557045,0.424615297711355
"ausbrt1","Alectura lathami","Australian Brushturkey",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"ausfig1","Sphecotheres vieilloti","Australasian Figbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"ausgan1","Morus serrator","Australasian Gannet",FALSE,"3",2022-11-01,2022-02-01,"3",2022-06-07,2022-09-27,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"ausgre1","Tachybaptus novaehollandiae","Australasian Grebe",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-28,TRUE,"resident","aus_nz",2014,2022,"01-04","12-28",0.8510085736509,0.466993964703545
"ausibi1","Threskiornis molucca","Australian Ibis",FALSE,"2",2022-12-06,2022-03-15,"2",2022-07-12,2022-10-04,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","aus_nz",2013,2021,"12-06","03-15",0.715271122151873,-0.028368882108165
"auskes1","Falco cenchroides","Nankeen Kestrel",FALSE,"2",2022-08-02,2022-03-01,"2",2022-06-21,2022-07-26,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","aus_nz",2013,2021,"08-02","03-01",0.851399378233286,-0.296183312673081
"auskit1","Elanus axillaris","Black-shouldered Kite",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"ausmag2","Gymnorhina tibicen","Australian Magpie",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"07-26","09-27",0.872039272450507,0.258258538313794
"ausneg1","Lessonia rufa","Austral Negrito",FALSE,"3",2022-10-25,2022-02-01,"3",2022-05-10,2022-08-09,"3",2022-02-08,2022-05-03,"3",2022-08-16,2022-10-18,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"10-25","02-01",0.689221913499918,0.690217961509425
"auspip2","Anthus australis","Australian Pipit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"07-26","10-04",0.773154765508208,-0.217606301794249
"auspip3","Anthus novaeseelandiae","New Zealand Pipit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"ausrav1","Corvus coronoides","Australian Raven",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-11,2022-03-01,TRUE,"resident","aus_nz",2014,2022,"07-12","10-11",0.786822382839627,0.111893912564855
"aussho1","Spatula rhynchotis","Australasian Shoveler",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"01-04","03-15",0.561695459122606,-0.189661490452456
"austhr1","Turdus falcklandii","Austral Thrush",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"05-24","09-27",0.795302632635717,0.0418065360626297
"azaspi1","Synallaxis azarae","Azara's Spinetail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2014,2021,"12-27","05-10",0.65062711334117,0.382859449973319
"azchum1","Saucerottia cyanocephala","Azure-crowned Hummingbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"07-05","09-27",0.714095067937498,-0.0830176325622282
"azukin1","Ceyx azureus","Azure Kingfisher",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"azwmag3","Cyanopica cooki","Iberian Magpie",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","iberia",2014,2022,"03-01","06-07",0.785108520168595,0.296954709577394
"babwar","Setophaga castanea","Bay-breasted Warbler",FALSE,"3",2022-06-14,2022-07-19,"3",2022-12-13,2022-03-22,"3",2022-07-26,2022-12-06,"3",2022-03-29,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","07-19",0.787276096611952,1.06444243614917
"bacspa","Peucaea aestivalis","Bachman's Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-02-01,2022-12-27,TRUE,"resident","north_america",2012,2022,"02-08","06-07",0.65383352654205,0.430340724606175
"baisan","Calidris bairdii","Baird's Sandpiper",FALSE,"2",2022-06-14,2022-06-28,"3",2022-11-15,2022-02-15,"3",2022-07-05,2022-11-08,"3",2022-02-22,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","south_america",2014,2021,"11-15","02-15",0.481268188977024,0.5766428776495
"baispa","Centronyx bairdii","Baird's Sparrow",FALSE,"3",2022-05-17,2022-07-19,"3",2022-10-25,2022-03-15,"1",2022-08-09,2022-10-18,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"baleag","Haliaeetus leucocephalus","Bald Eagle",FALSE,"3",2022-05-24,2022-07-19,"3",2022-12-27,2022-02-08,"3",2022-07-26,2022-12-20,"3",2022-02-15,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","07-19",0.832903330769415,0.0857534082049657
"balori","Icterus galbula","Baltimore Oriole",FALSE,"3",2022-06-07,2022-07-26,"3",2022-12-06,2022-03-29,"3",2022-08-02,2022-11-29,"3",2022-04-05,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-26",0.927754171139518,0.396417060848454
"banana","Coereba flaveola","Bananaquit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"06-21","12-20",0.766436434427093,0.259166038514333
"banmyn1","Acridotheres ginginianus","Bank Myna",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"06-14","10-04",0.568932230820206,0.244031541498026
"banswa","Riparia riparia","Bank Swallow",FALSE,"2",2022-06-07,2022-06-21,"2",2022-11-22,2022-02-15,"2",2022-06-28,2022-11-15,"2",2022-02-22,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","06-21",0.814324178526799,0.163893907408875
"banwre1","Thryophilus pleurostictus","Banded Wren",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"02-01","05-24",0.750748821546581,0.564469999817795
"bargol","Bucephala islandica","Barrow's Goldeneye",FALSE,"3",2022-05-31,2022-07-19,"2",2022-01-04,2022-02-01,"3",2022-07-26,2022-11-29,"3",2022-03-01,2022-05-24,NA,NA,NA,TRUE,"nonbreeding","north_america",2012,2022,"01-04","02-01",0.776103939092726,0.49643771328316
"barswa","Hirundo rustica","Barn Swallow",FALSE,"2",2022-05-31,2022-07-12,"2",2022-12-06,2022-01-18,"2",2022-07-19,2022-11-29,"2",2022-01-25,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-12",0.900006443398822,0.16493281077404
"basdov1","Geopelia humeralis","Bar-shouldered Dove",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"batgod","Limosa lapponica","Bar-tailed Godwit",FALSE,"2",2022-06-21,2022-07-05,"2",2022-11-15,2022-03-01,"2",2022-07-12,2022-11-08,"2",2022-03-08,2022-06-14,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"batpig1","Patagioenas fasciata","Band-tailed Pigeon",FALSE,"3",2022-05-10,2022-07-19,"3",2022-12-13,2022-02-08,"3",2022-07-26,2022-12-06,"3",2022-02-15,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","07-19",0.874238496588608,0.224062943635154
"bawswa1","Pygochelidon cyanoleuca","Blue-and-white Swallow",FALSE,"3",2022-10-25,2022-03-01,"3",2022-04-26,2022-07-12,"3",2022-03-08,2022-04-19,"3",2022-07-19,2022-10-18,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"10-25","03-01",0.78401056413414,0.485650351257598
"bawwar","Mniotilta varia","Black-and-white Warbler",FALSE,"3",2022-06-07,2022-07-05,"3",2022-11-15,2022-02-15,"3",2022-07-12,2022-11-08,"3",2022-02-22,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-05",0.848357288451632,0.347621977812366
"baymac","Ara ararauna","Blue-and-yellow Macaw",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck",FALSE,"3",2022-05-24,2022-08-02,"3",2022-01-18,2022-03-01,"3",2022-08-09,2022-01-11,"3",2022-03-08,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","08-02",0.807403307948638,0.328531129923067
"bcbeag1","Geranoaetus melanoleucus","Black-chested Buzzard-Eagle",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"bcnher","Nycticorax nycticorax","Black-crowned Night Heron",FALSE,"2",2022-06-07,2022-08-23,"2",2022-11-29,2022-03-15,"2",2022-08-30,2022-11-22,"2",2022-03-22,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","08-23",0.795551975682586,0.334882424345251
"bcrfin","Leucosticte australis","Brown-capped Rosy-Finch",FALSE,"3",2022-05-17,2022-08-30,"3",2022-12-06,2022-03-15,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"belkin1","Megaceryle alcyon","Belted Kingfisher",FALSE,"3",2022-05-24,2022-06-28,"3",2022-12-06,2022-03-01,"3",2022-07-05,2022-11-29,"3",2022-03-08,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","06-28",0.901989943723961,0.00117124806370045
"belmin1","Manorina melanophrys","Bell Miner",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2013,2021,"12-20","05-17",0.804357937020429,0.557596259022517
"belspa2","Artemisiospiza belli","Bell's Sparrow",FALSE,"2",2022-03-15,2022-06-07,"2",2022-12-27,2022-01-11,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"03-15","06-07",0.754537093928444,1.05293140137614
"belvir","Vireo bellii","Bell's Vireo",FALSE,"3",2022-06-07,2022-08-09,"3",2022-11-08,2022-03-01,"3",2022-08-16,2022-10-18,"3",2022-03-08,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","08-09",0.843314132510109,0.0198462554449988
"benthr","Toxostoma bendirei","Bendire's Thrasher",FALSE,"1",2022-05-03,2022-07-26,"2",2022-10-04,2022-02-15,"0",NA,NA,"2",2022-03-01,2022-04-26,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"berhum","Saucerottia beryllina","Berylline Hummingbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"06-28","12-20",0.681837308193233,-0.0994754367858885
"bewwre","Thryomanes bewickii","Bewick's Wren",FALSE,"3",2022-05-17,2022-07-26,"3",2022-10-04,2022-03-08,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","07-26",0.8967069640511,0.179005559247341
"bicthr","Catharus bicknelli","Bicknell's Thrush",FALSE,"3",2022-06-07,2022-07-12,"3",2022-11-01,2022-04-26,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-12",0.729638215128436,0.630631396338187
"bkbcuc","Coccyzus erythropthalmus","Black-billed Cuckoo",FALSE,"3",2022-06-14,2022-08-09,"0",NA,NA,"2",2022-08-23,2022-11-08,"2",2022-03-08,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-09",0.872013950020039,0.977816511572921
"bkbmag1","Pica hudsonia","Black-billed Magpie",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"10-11","03-15",0.86585454393408,-0.284342606661884
"bkbplo","Pluvialis squatarola","Black-bellied Plover",FALSE,"2",2022-06-21,2022-07-12,"3",2022-12-06,2022-03-22,"2",2022-07-19,2022-11-29,"2",2022-03-29,2022-06-14,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-06","03-22",0.761546673172909,-0.0369718033358162
"bkbwar","Setophaga fusca","Blackburnian Warbler",FALSE,"3",2022-06-14,2022-07-26,"3",2022-12-06,2022-03-01,"3",2022-08-02,2022-11-29,"3",2022-03-08,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","07-26",0.82750690308972,0.854757422974981
